dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
msong,Baseline,994185,1000,420,997,70,62,1,0,0,4,4,1,298.17858887500006,0.0024099946022034,0.45475683725,1.355838935
msong,Baseline,994185,1000,420,997,100,62,1,0,0,4,4,1,325.801750175,0.0014700293540955,0.57880311125,1.883733245
msong,Baseline,994185,1000,420,997,200,62,1,0,0,4,4,1,344.254989625,0.0009199976921082,1.0637961472500002,3.659680114
msong,Baseline,994185,1000,420,997,300,62,1,0,0,4,4,1,381.48773192500005,0.0008400082588196,1.48914163675,5.676457862
msong,Baseline,994185,1000,420,997,400,62,1,0,0,4,4,1,448.16596982500005,0.0008299946784973,1.9315572835,8.629478194
msong,Baseline,994185,1000,420,997,500,62,1,0,0,4,4,1,537.0652008,0.0008299946784973,2.14664889675,11.52875542
msong,Baseline,994185,1000,420,997,997,62,1,0,0,4,4,1,440.05950165,0.0008100271224976,3.2491386689999997,14.284684785

msong,Group   ,994185,1000,420,997,10,62,1,1,4,4,2,2,49.663564699999995,0.0704100131988525,0.4365379815,0.215984047
msong,Group   ,994185,1000,420,997,20,62,1,1,4,4,2,2,85.4555168,0.0210899710655212,0.5147187274999999,0.439569378
msong,Group   ,994185,1000,420,997,30,62,1,1,4,4,2,2,110.20436287499999,0.0093600153923035,0.5726415092499999,0.630598966
msong,Group   ,994185,1000,420,997,40,62,1,1,4,4,2,2,132.7419014,0.0054600238800049,0.6213582965,0.822621335
msong,Group   ,994185,1000,420,997,50,62,1,1,4,4,2,2,159.5869141,0.00382000207901,0.6403792187499999,1.017111518
msong,Group   ,994185,1000,420,997,70,62,1,1,4,4,2,2,173.99270629999998,0.0024099946022034,0.7800438212499999,1.355838935
msong,Group   ,994185,1000,420,997,100,62,1,1,4,4,2,2,212.46636199999998,0.0014700293540955,0.88781958875,1.883733245
msong,Group   ,994185,1000,420,997,200,62,1,1,4,4,2,2,277.38568112499996,0.0009199976921082,1.31971403525,3.659680114
msong,Group   ,994185,1000,420,997,300,62,1,1,4,4,2,2,332.5990448,0.0008400082588196,1.707149307,5.676457862
msong,Group   ,994185,1000,420,997,400,62,1,1,4,4,2,2,433.499397275,0.0008299946784973,1.9907465002500002,8.629478194
msong,Group   ,994185,1000,420,997,500,62,1,1,4,4,2,2,517.8700485249999,0.0008299946784973,2.226366372,11.52875542
msong,Group   ,994185,1000,420,997,997,62,1,1,4,4,2,2,476.077690125,0.0008100271224976,3.001167078,14.284684785

msong,Dim     ,994185,1000,420,997,1,62,0,0,4,4,1,1,2.6272567000000002,0.6087999939918518,0.83983371075,0.022059197
msong,Dim     ,994185,1000,420,997,10,62,0,0,4,4,1,1,23.984655875,0.0704100131988525,0.9005736215,0.215984047
msong,Dim     ,994185,1000,420,997,20,62,0,0,4,4,1,1,45.380386349999995,0.0210800170898438,0.9686698167500001,0.439569378
