dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.5000000000000000,395.519043,0.2339900135993958,3.265631895,12.916195984,502.5404129020863
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.6000000238418579,395.605072,0.23890501260757446,3.2649690225,12.916195984,600.6511052086116
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.6999999880790710,394.688446,0.2464900016784668,3.272504292,12.916195984,700.8642322276463
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.8000000119209290,398.09098815000004,0.2577599883079528,3.244888601,12.916195984,801.017293025167
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,0.8999999761581421,384.07136535,0.2704100012779236,3.362984096,12.916195984,901.2931470549503
msongHard,Group   ,994185,1000,420,997,997,232,1,1,1,4,4,2,2,1.0000000000000000,390.60380555,0.28543999791145325,3.3075234184999998,12.916195984,1001.4975241376455

msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.0000000000000000,307.336792,0.20160001516342166,4.2059020205,12.916195984,44.71867338952512
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.1000000014901161,319.9976501,0.2003399729728699,4.036340862,12.916195984,105.10793993372401
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.2000000029802322,316.5084839,0.19809502363204956,4.0860402865,12.916195984,203.16334773023695
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.3000000119209290,306.8657837,0.21110999584198,4.209069964,12.916195984,302.501327533415
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.4000000059604645,321.00102234999997,0.2163250148296356,4.0332641095,12.916195984,402.4677809798868
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.5000000000000000,298.0984497,0.2341099977493286,4.332862325,12.916195984,502.5035636634664
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.6000000238418579,303.38102725,0.23096498847007751,4.257791222,12.916195984,600.651963270831
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.6999999880790710,321.459137,0.2571300268173218,4.017989842,12.916195984,700.7812705598677
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.8000000119209290,328.4186859,0.2568899989128113,3.9363038915,12.916195984,801.0290132144119
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,0.8999999761581421,315.63238524999997,0.2842549979686737,4.092501826,12.916195984,901.247505355562
msongHard,Dim     ,994185,1000,420,997,997,232,0,0,0,4,4,1,1,1.0000000000000000,317.13414,0.29555001854896545,4.074169837,12.916195984,1001.4506112524643

dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
