dataset,mode,train_time,add_time,preSearch_time
HandOutlines,Baseline,25.1481188829999986,24.2802827980000018,4.8678277249999997
HandOutlines,Dim     ,25.5610391909999990,23.7119592929999996,13.4107184180000001
HandOutlines,Group   ,25.1009865689999998,24.1887699390000002,15.1207031720000007
